sku_id,product_name,listing_description,listing_claims
SKU-1013,PulseCore Wireless Mouse,"Smooth, responsive, and wireless. PulseCore goes up to 60 days on a single battery and works on almost any surface — including glass.","2.4GHz wireless. DPI: 800, 1200, 2400, 3200. Up to 60 days per AA battery. Ambidextrous. Works on all surfaces including glass."
SKU-1014,ZenAir Portable Air Purifier,"Three-stage filtration including a true HEPA H13 filter, quiet enough to run while you sleep. Covers rooms up to 20 square metres.","HEPA H13 filtration. Pre-filter and activated carbon included. From 25dB on low. Covers up to 20 square metres. Replace filter every 6 months."
SKU-1015,CosmicBlend Nutrition Shake,"A complete plant-based meal in a glass. 23g of protein, 24 vitamins and minerals, and zero artificial ingredients across three delicious flavours.","23g plant-based protein. 400 calories per serving. 24 vitamins and minerals. No artificial colours or flavours. Vegan and vegetarian friendly."
SKU-1016,HorizonPure Water Filter Jug,"Great-tasting water straight from the tap. HorizonPure removes chlorine taste, limescale, and heavy metals through its activated carbon and ion exchange filter.","Reduces chlorine, limescale, copper, and lead. 150-litre filter capacity. BPA-free. 3.5-litre jug capacity."
SKU-1017,NovaNest Smart Plug,"Control any appliance from anywhere. NovaNest works with Alexa and Google Home and needs no hub — just plug in, connect to Wi-Fi, and go.","Wi-Fi connected, no hub required. Works with Alexa and Google Home. App: iOS 13+, Android 9+. Rated to 2300W / 10A. Real-time energy monitoring."
SKU-1018,SolarShield Sunscreen SPF50,"Lightweight SPF50 that absorbs in seconds with no white cast. Fragrance-free, dermatologist-tested, and suitable for even sensitive skin.","SPF50 broad-spectrum UVA and UVB. Dermatologist-tested. Fragrance-free. Suitable for sensitive skin. Water resistant for up to 40 minutes."
SKU-1019,PrismLens 4K Action Camera,"Waterproof to 10 metres, 4K at 60fps, and a 170-degree lens that captures everything. No housing needed — just strap it on and shoot.","4K 60fps video. 1080p 240fps slow motion. Waterproof to 10 metres without housing. 170-degree wide-angle lens. 2-inch touchscreen. Wi-Fi and Bluetooth."
SKU-1020,TerraLoop Reusable Coffee Cup,"Made from recycled ocean plastic and built to last. TerraLoop keeps your coffee hot for 4 hours and your iced drinks cold for 8 — leak-proof guaranteed.","Recycled ocean plastic. Hot retention 4 hours. Cold retention 8 hours. Leak-proof. 350ml. Dishwasher safe."
SKU-1021,AuroraSleep Eye Mask,"Drift off in complete darkness. The AuroraSleep mask is contoured so it never touches your eyelids, making it the last eye mask you'll ever need.","Complete blackout. Contoured, zero eyelid pressure. Adjustable strap. Memory foam. Machine washable."
SKU-1022,VerdantGrow Indoor Plant Food,"Give your plants exactly what they need. VerdantGrow's balanced formula promotes lush leaf growth and strong roots with just one application per week.","NPK 3-1-2. Suitable for all indoor houseplants. Weekly application in growing season, monthly in winter. 500ml makes up to 100 litres of feed."
SKU-1023,CloudStep Memory Foam Slippers,"Step into cloud-like comfort. CloudStep slippers mould to the exact shape of your foot overnight, delivering a truly personalised fit from day one.","Memory foam moulds to your foot overnight. Non-slip sole. Machine washable. Sizes 36 to 47."
SKU-1024,Arctic Puffer Jacket,"Packable warmth for any adventure. The Arctic Puffer keeps you comfortable down to -10 degrees and folds into its own pocket for easy packing.","DWR water-repellent shell. Rated to -10°C. Packs into chest pocket. 4 exterior pockets. Sizes XS to 3XL."
SKU-1025,CosmoKnit Merino Wool Sweater,"Pure merino in a classic crew neck. Naturally warm, naturally odour-resistant, and soft enough to wear directly against the skin.","100% merino wool. Temperature regulating and moisture wicking. Odour resistant. Machine washable at 30°C on wool cycle. Sizes XS to XXL."
SKU-1026,TerraTread Hiking Boots,"Built for all-day comfort on mixed terrain. TerraTread's Vibram outsole grips wet and dry surfaces, and the waterproof membrane keeps your feet dry in any weather.","Waterproof membrane. Vibram outsole. Padded ankle and tongue. Sizes 36 to 48."
SKU-1027,FlexRun Performance Leggings,"Four-way stretch and full-day comfort. FlexRun leggings move with you through every run, session, and stretch — with UPF 50+ sun protection built in.","Four-way stretch, moisture-wicking. High-waisted, hidden pocket. UPF 50+. Sizes XS to XXL. Machine washable at 40°C."
SKU-1028,SolsticeWool Beanie,"A classic ribbed beanie in a lambswool-acrylic blend. Stretchy, warm, and available in eight colours to match any outfit.","55% lambswool, 45% acrylic. One size fits most. Stretchy ribbed knit. Hand wash or dry clean."
SKU-1029,NovaDenim Slim Jeans,"Slim-cut stretch denim with a five-pocket design and a clean, versatile finish that works from the office to the weekend.","98% cotton, 2% elastane. Slim fit. Five-pocket construction. Machine washable at 30°C. Waist 28-40, length 30-34."
SKU-1030,CelesteCashmere Scarf,"Grade A cashmere in a lightweight plain weave. Incredibly soft, naturally warm, and available in six neutral tones.","Grade A cashmere. 180cm x 70cm. Dry clean only. Hypoallergenic and temperature-regulating."
SKU-1031,EclipseFrame Sunglasses,"UV400 polarised lenses in a lightweight TR90 frame. Available in round, square, and aviator shapes — with case and cloth included.","UV400 protection, 100% UVA and UVB blocking. Polarised. TR90 frame. Hard case and cleaning cloth included."
SKU-1032,QuantumAir Robot Vacuum,"LiDAR-guided cleaning in systematic rows, with an auto-emptying dock that goes 30 days between bag changes. Set a schedule and forget it.","LiDAR navigation. 2700Pa suction. Auto-emptying dock, 30-day bag capacity. Works on hard floors and carpet. App scheduling."
SKU-1033,CosmicChef Air Fryer 5.5L,"Crispy results with up to 80% less oil than traditional frying. Eight presets and a dishwasher-safe basket make weeknight cooking genuinely easy.","5.5-litre capacity. 80-200°C temperature range. 8 cooking presets. Dishwasher-safe basket and tray. 1500W."
SKU-1034,NebulaBrew Pour-Over Coffee Kit,"Everything you need to brew exceptional filter coffee at home — no paper filters, no disposables, no compromise.","Borosilicate glass dripper. 600ml gooseneck kettle. Reusable stainless mesh filter. Walnut drip stand. All dishwasher safe."
SKU-1035,OrionOak Floating Shelf Set,"Three floating shelves in a solid oak finish, each rated to 15kg. All fixings included — ready to hang straight out of the box.","Solid oak. Three shelves: 40cm, 60cm, 80cm. All fixings included. 15kg load rating per shelf. Fits solid and stud walls."
SKU-1036,ZenithFoam Yoga Mat,"A 6mm non-slip mat that stays put on hard floors. Lightweight and easy to carry with the included strap — suitable for yoga, pilates, and stretching.","6mm closed-cell foam. Non-slip both surfaces. 183cm x 61cm. Carry strap included."
SKU-1037,CrystalDrop Humidifier 4L,"Ultra-quiet cool mist humidification for rooms up to 40 square metres. Auto shut-off, night mode, and up to 24 hours of run time on a single fill.","4-litre tank. Cool ultrasonic mist. Covers 40 square metres. Auto shut-off. Night mode. Up to 24 hours on low."
SKU-1038,LumenCanvas LED Light Strip 5m,"Five metres of Wi-Fi-controlled RGB lighting with millions of colour combinations and music-sync mode. No hub required. Works with Alexa and Google Home.","5 metres, cuttable every 10cm. RGB plus warm white. Wi-Fi controlled, no hub. Alexa and Google Home compatible. Power adapter included."
SKU-1039,StellarSpin Cordless Screwdriver,"20 torque settings, a 30-piece bit set, and USB-C charging — everything you need for home assembly and everyday repairs in one compact tool.","3.6V. 20 torque settings. 5Nm max torque. 30-piece bit set. USB-C charging, 90 minutes to full. LED work light."
SKU-1040,PolarPeak Insulated Water Bottle 1L,"Double-wall vacuum insulation keeps your drink cold for 24 hours and hot for 12. Food-grade stainless steel and a wide mouth that fits standard ice cubes.","Double-wall vacuum insulation. Cold 24h, hot 12h. 18/8 stainless steel. Leak-proof. Wide mouth. 1 litre. BPA-free."
SKU-1041,VividCast 4K Streaming Stick,"4K HDR streaming with Dolby Atmos audio and Wi-Fi 6 support. Plug into any HDMI port and access all your streaming services instantly.","4K HDR at 60fps. Dolby Atmos. Wi-Fi 6. HDMI 2.1. Voice remote included."
SKU-1042,MindfulMoment Aromatherapy Diffuser,"Ultrasonic cool mist diffusion with seven ambient LED colours. Runs for up to 12 hours and shuts off automatically when the tank is empty.","200ml tank. Cool ultrasonic mist. 7 LED colour modes. Auto shut-off. Up to 6 hours continuous, 12 hours intermittent."
SKU-1043,QuantaGrip Phone Mount for Car,"Fits any air vent and holds phones up to 7.2 inches wide. One-handed release, 360-degree rotation, and zero tools needed.","Fits vents up to 3.5cm. Holds phones 4.7-7.2 inches. One-handed release. 360-degree rotation. No tools required."
SKU-1044,CosmoSkin Vitamin C Serum,"15% Vitamin C with hyaluronic acid to brighten skin tone, reduce dark spots, and visibly reverse signs of ageing in as little as two weeks.","15% stabilised Vitamin C. Hyaluronic acid. Dermatologist-tested. Reverses signs of ageing in 2 weeks. Suitable for all skin types. 30ml."
SKU-1045,StarForge Carbon Steel Wok 32cm,"Hand-hammered, pre-seasoned, and ready to cook on any hob including induction. The StarForge wok gets better with every use.","Hand-hammered carbon steel. Pre-seasoned. Gas, electric, and induction compatible. 32cm. Wooden handle. Hand wash recommended."
SKU-1046,EchoWave Bluetooth Speaker,"IPX7 waterproof, 360-degree sound, and 12 hours of battery. EchoWave is the speaker that goes wherever you do — including underwater.","IPX7 waterproof. 360-degree sound. 20W. 12-hour battery. Bluetooth 5.1. USB-C charging. Built-in microphone."
SKU-1047,FluxPen Digital Stylus,"4096 pressure levels and tilt recognition for natural, precise drawing and note-taking. Charges in 30 minutes via magnetic USB-C connector.","4096 pressure levels. 60-degree tilt recognition. Palm rejection. Magnetic USB-C charging, 30 minutes. iOS and Android compatible."
SKU-1048,TerraBag Recycled Canvas Tote,"A rugged, washable tote made entirely from recycled canvas. Reinforced handles, a zip pocket inside, and a magnetic snap closure. Rated to 15kg.","100% recycled canvas. Reinforced handles. Internal zip pocket. Magnetic snap. Rated to 15kg. Machine washable at 30°C."
SKU-1049,NovaPillow Adjustable Fill,"Adjust the fill to your exact preference — simply add or remove shredded memory foam until it feels right. Bamboo-blend cover included, fully removable and washable.","Adjustable shredded memory foam fill. 60% bamboo, 40% polyester cover. Removable, machine washable cover. Standard and king sizes."
SKU-1050,CelestialBlend Herbal Sleep Tea,"A caffeine-free blend of chamomile, valerian, lemon balm, and passionflower — scientifically proven to help you fall into a deep, restorative sleep within 20 minutes.","Caffeine-free. Chamomile, valerian root, lemon balm, passionflower. Biodegradable bags. 30 per box. Scientifically proven to induce deep sleep within 20 minutes."
