sku_id,product_name,product_category,specs
SKU-1030,CelesteCashmere Scarf,fashion,"Woven scarf. Material: Grade A cashmere. Dimensions: 180cm x 70cm. Care: dry clean only. Properties: naturally hypoallergenic, temperature-regulating. Colours: 6 neutral."
SKU-1031,EclipseFrame Sunglasses,fashion,"Sunglasses. Lens: UV400 polarised. Frame: TR90 lightweight. Shapes: round, square, aviator. Accessories: hard case and cleaning cloth included."
SKU-1032,QuantumAir Robot Vacuum,gadgets,"Robot vacuum. Navigation: LiDAR mapping. Suction: 2700Pa. Dock: auto-emptying, bag capacity approximately 30 days before replacement. Flooring: hard floors and carpet. Control: app-based scheduling."
SKU-1033,CosmicChef Air Fryer 5.5L,home and lifestyle,"Air fryer. Basket capacity: 5.5 litres. Temperature range: 80 to 200 degrees Celsius. Presets: 8 cooking programmes. Dishwasher safe: basket and tray. Power: 1500W."
SKU-1034,NebulaBrew Pour-Over Coffee Kit,home and lifestyle,"Pour-over coffee kit. Components: borosilicate glass dripper, 600ml stainless steel gooseneck kettle, reusable stainless mesh filter, walnut drip stand. Dishwasher safe: all except walnut stand."
SKU-1035,OrionOak Floating Shelf Set,home and lifestyle,"Floating shelf set. Material: solid oak veneer over MDF. Shelves: 3 included at 40cm, 60cm, and 80cm width. Fixings: all wall fixings and screws included. Load rating: 15kg per shelf. Wall types: solid and stud."
SKU-1036,ZenithFoam Yoga Mat,home and lifestyle,"Yoga mat. Thickness: 6mm. Material: closed-cell foam. Texture: non-slip both surfaces. Dimensions: 183cm x 61cm. Accessories: carry strap included. Care: wipe with damp cloth."
SKU-1037,CrystalDrop Humidifier 4L,home and lifestyle,"Ultrasonic humidifier. Tank: 4 litres. Mist type: cool ultrasonic. Coverage: up to 40 square metres. Safety: auto shut-off on empty. Modes: night mode dims display. Run time: up to 24 hours on low."
SKU-1038,LumenCanvas LED Light Strip 5m,gadgets,"LED light strip. Length: 5 metres. Cuttable: every 10cm. Colours: RGB plus warm white. Control: Wi-Fi via app, no hub required. Compatibility: Alexa and Google Home. Includes power adapter."
SKU-1039,StellarSpin Cordless Screwdriver,gadgets,"Cordless screwdriver. Voltage: 3.6V. Torque settings: 20. Max torque: 5Nm. Bits: 30-piece set included. Charging: USB-C, 90 minutes to full. Light: LED work light."
SKU-1040,PolarPeak Insulated Water Bottle 1L,home and lifestyle,"Insulated water bottle. Insulation: double-wall vacuum. Cold retention: 24 hours. Hot retention: 12 hours. Material: 18/8 food-grade stainless steel. Cap: leak-proof twist. Mouth: wide, fits standard ice cubes. Capacity: 1 litre. BPA-free."
SKU-1041,VividCast 4K Streaming Stick,gadgets,"Streaming stick. Video: 4K HDR at 60fps. Audio: Dolby Atmos pass-through. Wi-Fi: Wi-Fi 6 compatible. HDMI: 2.1. Remote: voice remote included. Power: USB from TV or included adapter."
SKU-1042,MindfulMoment Aromatherapy Diffuser,home and lifestyle,"Ultrasonic aromatherapy diffuser. Tank: 200ml. Mist: cool ultrasonic, no heat. LED: 7 colour modes. Safety: auto shut-off on empty. Run time: 6 hours continuous, 12 hours intermittent."
SKU-1043,QuantaGrip Phone Mount for Car,gadgets,"Car phone mount. Attachment: air vent clip. Vent compatibility: blades up to 3.5cm wide. Phone width: 4.7 to 7.2 inches. Release: one-handed squeeze. Rotation: 360 degrees. Installation: no tools required."
SKU-1044,CosmoSkin Vitamin C Serum,home and lifestyle,"Facial serum. Active ingredient: 15% stabilised ascorbic acid. Additional ingredients: hyaluronic acid. Tested: dermatologist-tested. Skin types: all. Usage: once daily morning application before moisturiser. Size: 30ml."
SKU-1045,StarForge Carbon Steel Wok 32cm,home and lifestyle,"Carbon steel wok. Construction: hand-hammered carbon steel. Pre-seasoned: yes. Hob compatibility: gas, electric, induction. Diameter: 32cm. Handle: wooden. Care: hand wash to preserve seasoning."
SKU-1046,EchoWave Bluetooth Speaker,gadgets,"Portable Bluetooth speaker. Waterproofing: IPX7, submersible to 1 metre for 30 minutes. Sound: 360-degree projection. Output: 20W. Battery: 12 hours. Bluetooth: 5.1. Charging: USB-C. Microphone: built-in speakerphone."
SKU-1047,FluxPen Digital Stylus,gadgets,"Digital stylus. Pressure sensitivity: 4096 levels. Tilt recognition: up to 60 degrees. Palm rejection: supported in compatible apps. Charging: magnetic USB-C, 30 minutes to full. Compatibility: iOS and Android capacitive touchscreens."
SKU-1048,TerraBag Recycled Canvas Tote,fashion,"Canvas tote bag. Material: 100% recycled canvas. Handles: reinforced stitching. Interior: zip pocket. Closure: magnetic snap. Load rating: 15kg. Care: machine washable at 30 degrees."
SKU-1049,NovaPillow Adjustable Fill,home and lifestyle,"Adjustable pillow. Fill: shredded memory foam, removable and adjustable. Cover: 60% bamboo, 40% polyester, removable and machine washable. Sizes: standard 50x75cm, king 50x90cm."
SKU-1050,CelestialBlend Herbal Sleep Tea,home and lifestyle,"Herbal tea. Ingredients: chamomile, valerian root, lemon balm, passionflower. Caffeine: none. Bags: individually wrapped, biodegradable. Quantity: 30 bags per box. No clinical studies conducted. No sleep efficacy claims substantiated."
