sku_id,product_name,product_category,current_stock,sales_velocity_weekly,days_of_supply,season_relevance,our_price,competitor_price,return_rate_pct,notes
SKU-1025,CosmoKnit Merino Wool Sweater,fashion,2100,525,28,evergreen,89.99,84.99,2.1,"Steady seller. Listing accurate and approved. Competitor slightly cheaper."
SKU-1026,TerraTread Hiking Boots,fashion,1400,363,27,evergreen,119.99,109.99,2.8,"Steady seller. Listing accurate. Competitor $10 cheaper."
SKU-1027,FlexRun Performance Leggings,fashion,2600,791,23,evergreen,54.99,49.99,2.3,"Strong performer. Listing accurate and approved."
SKU-1028,SolsticeWool Beanie,fashion,6200,301,144,seasonal,19.99,16.99,1.8,"High seasonal stock, velocity declining sharply as winter ends. 144 days of supply at current velocity. Competitor significantly cheaper."
SKU-1029,NovaDenim Slim Jeans,fashion,3100,723,30,evergreen,69.99,64.99,3.4,"Steady seller. Listing accurate. Competitor slightly cheaper."
SKU-1030,CelesteCashmere Scarf,fashion,2400,218,77,seasonal,149.99,134.99,2.7,"Moderate seasonal stock. Velocity declining post-winter. Competitor $15 cheaper. 77 days of supply."
SKU-1031,EclipseFrame Sunglasses,fashion,1900,605,22,seasonal,49.99,44.99,1.9,"Approaching peak season. Listing accurate. Competitor slightly cheaper. Velocity expected to increase."
SKU-1032,QuantumAir Robot Vacuum,gadgets,1100,241,32,evergreen,349.99,319.99,9.2,"Elevated return rate. Customer complaints about navigation behaving randomly rather than systematic rows as listed. Possible firmware issue — under investigation. Competitor $30 cheaper."
SKU-1033,CosmicChef Air Fryer 5.5L,home and lifestyle,2800,817,24,evergreen,79.99,74.99,3.1,"Steady seller. Listing claims 80% less oil — this is a general industry benchmark figure not specific to this model. Agent 1 should verify sourcing of this claim."
SKU-1034,NebulaBrew Pour-Over Coffee Kit,home and lifestyle,1600,400,28,evergreen,64.99,59.99,8.7,"Elevated return rate driven by dishwasher safe claim — walnut stand warps in dishwasher. Listing inaccurate. Agent 1 flagged. Returns focused on stand damage."
SKU-1035,OrionOak Floating Shelf Set,home and lifestyle,2300,474,34,evergreen,49.99,46.99,2.2,"Steady seller. Listing accurate and approved. Competitor slightly cheaper."
SKU-1036,ZenithFoam Yoga Mat,home and lifestyle,3700,996,26,evergreen,29.99,27.99,1.6,"Strong performer. Listing accurate. Competitor marginally cheaper."
SKU-1037,CrystalDrop Humidifier 4L,home and lifestyle,2100,544,27,evergreen,44.99,41.99,2.1,"Steady seller. Listing accurate and approved. Competitor $3 cheaper."
SKU-1038,LumenCanvas LED Light Strip 5m,gadgets,4100,1148,25,evergreen,24.99,22.99,2.4,"Strong performer. Listing accurate and approved. Competitor $2 cheaper."
SKU-1039,StellarSpin Cordless Screwdriver,gadgets,1800,450,28,evergreen,39.99,36.99,2.7,"Steady seller. Listing accurate. Competitor $3 cheaper."
SKU-1040,PolarPeak Insulated Water Bottle 1L,home and lifestyle,3400,850,28,evergreen,34.99,32.99,1.8,"Strong performer. Listing accurate and approved. Competitor $2 cheaper."
SKU-1041,VividCast 4K Streaming Stick,gadgets,2200,700,22,evergreen,49.99,47.99,1.2,"Strong performer. Listing accurate and approved. Low return rate. Positive customer feedback."
SKU-1042,MindfulMoment Aromatherapy Diffuser,home and lifestyle,2700,573,33,evergreen,32.99,30.99,2.3,"Steady seller. Listing accurate. Competitor $2 cheaper."
SKU-1043,QuantaGrip Phone Mount for Car,gadgets,3900,1300,21,evergreen,14.99,13.49,2.1,"High-velocity low-cost item. Listing accurate and approved. Competitor $1.50 cheaper."
SKU-1044,CosmoSkin Vitamin C Serum,home and lifestyle,2600,379,48,evergreen,39.99,34.99,13.6,"Elevated return rate linked to anti-ageing claim on listing — reverses signs of ageing in 2 weeks. No such evidence in product spec. Agent 1 flagged. Competitor significantly cheaper."
SKU-1045,StarForge Carbon Steel Wok 32cm,home and lifestyle,1300,433,21,evergreen,44.99,42.99,2.4,"Steady seller. Listing accurate and approved. Competitor marginally cheaper."
SKU-1046,EchoWave Bluetooth Speaker,gadgets,1700,517,23,evergreen,69.99,64.99,2.6,"Steady seller. Listing accurate and approved. Competitor $5 cheaper."
SKU-1047,FluxPen Digital Stylus,gadgets,2100,408,36,evergreen,49.99,46.99,2.9,"Steady seller. Listing accurate. Competitor $3 cheaper."
SKU-1048,TerraBag Recycled Canvas Tote,fashion,4800,1461,23,evergreen,19.99,18.99,1.6,"Strong performer. Listing accurate and approved. Competitor $1 cheaper."
SKU-1049,NovaPillow Adjustable Fill,home and lifestyle,2400,542,31,evergreen,54.99,51.99,3.2,"Steady seller. Listing accurate and approved. Competitor $3 cheaper."
SKU-1050,CelestialBlend Herbal Sleep Tea,home and lifestyle,3100,203,107,evergreen,18.99,15.99,16.8,"High return rate and very low velocity. Listing claims scientifically proven sleep induction within 20 minutes — no studies conducted per spec. Agent 1 flagged. Competitor significantly cheaper. Stock accumulating."
